Histórico;Contra;Débito;Crédito;Saldo
6 - BANCOS CONTA MOVIMENTO615 - SICOOB ;;Saldo anterior:;;152.831,10
;;;;
;;;;
02/02/2026;;;;
Recebimento 610 - POUSADA E RESTAURANTE ESTANCIA DOS MAIAS LTDA, ref 12/2025;828;1.058,62;;153.889,72
;;;;
Recebimento 380 - CINTIA LOPES DE BRITO MAGALHAES, ref 01/2026;828;570,07;;154.459,79
Recebimento 178 - GPS Carne;829;166,98;;154.626,77
Recebimento 536 - GLOBAL SOLUTIONS COMERCIO E SERVICOS LTDA, ref 12/2025;828;2.842,54;;157.469,31
Recebimento 55 - JULIO CESAR SILVA OLIVEIRA - ME, ref 12/2025;828;300,13;;157.769,44
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;27,41;157.742,03
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;508,56;157.233,47
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;53,36;157.180,11
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;302,93;156.877,18
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;248,52;156.628,66
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;357,84;156.270,82
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;139,45;156.131,37
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;585,37;155.546,00
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;1,09;155.544,91
;;;;
03/02/2026;;;;
Recebimento 339 - Theresinha Iabrudi de Rezend, ref 01/2026;828;665,85;;156.210,76
;;;;
Recebimento 310 - JORIO COELHO, ref 01/2026;828;445,76;;156.656,52
;;;;
04/02/2026;;;;
Recebimento 324 - THATIANNE COSTA SILVA, ref 01/2026;828;990,76;;157.647,28
;;;;
;;;;
05/02/2026;;;;
Recebimento 43 - MERCES PINTO DE ALCANTARA, ref 01/2026;828;1.529,08;;159.176,36
;;;;
Recebimento 370 - ENIO MARCIO BARROSO COSTA, ref 01/2026;828;445,76;;159.622,12
;;;;
06/02/2026;;;;
Recebimento 371 - FABIANA MARIA DE ALMEIDA, ref 01/2026;828;445,76;;160.067,88
;;;;
Recebimento 282 - LUIS FERNANDO BUENO, ref 01/2026;828;445,76;;160.513,64
;;;;
09/02/2026;;;;
Recebimento 363 - TULIO SPURI TEIXEIRA DE OLIVEIRA, ref 01/2026;828;642,07;;161.155,71
;;;;
Recebimento 15 - SILVANA MACIEL DUTRA, ref 01/2026;828;1.164,59;;162.320,30
Recebimento 365 - DONARIA COMEMORACAO PINTO COSTA MAROTTA, ref 01/2026;828;489,23;;162.809,53
Recebimento 377 - NUNCIO ANTONIO ARAUJO SOL, ref 01/2026;828;1.278,54;;164.088,07
;;;;
10/02/2026;;;;
Recebimento 35 - PAROQUIA CRISTO REI EM OURO PRETO, ref 01/2026;828;2.164,13;;166.252,20
;;;;
;;;;
11/02/2026;;;;
Recebimento 601 - AMQUEIROZ EMPREENDIMENTOS LTDA, ref 01/2026;828;996,39;;167.248,59
;;;;
Recebimento 590 - DCC CONSULTORIA LTDA, ref 01/2026;828;3.789,17;;171.037,76
;;;;
12/02/2026;;;;
Recebimento 202 - LOGIN TRANSPORTES E LOCACOES LTDA, ref 01/2026;828;41.338,01;;212.375,77
;;;;
Recebimento 244 - JV CONSTRUTORA LTDA, ref 01/2026;828;624,41;;213.000,18
Recebimento 24 - SINDICATO NACIONAL DOS SERV FEDERAIS DA EDUCACAO B, ref 01/2026;828;1.725,71;;214.725,89
;;;;
13/02/2026;;;;
Recebimento 619 - GILMAR NIQUINI E FILHOS LTDA, ref 01/2026;828;1.573,04;;216.298,93
;;;;
Recebimento 323 - ADALGISA RODRIGUES DA COSTA DE PAULO, ref 01/2026;828;477,09;;216.776,02
Recebimento 641 - OPHTALMUS ASSISTENCIA OFTALMOLOGICA LTDA, ref 01/2026;828;14.265,15;;231.041,17
Recebimento 598 - DR. CLOVIS JUNIOR SERVICOS MEDICOS LTDA, ref 01/2026;828;2.194,37;;233.235,54
Recebimento 580 - MR RESTAURO LTDA, ref 01/2026;828;609,31;;233.844,85
Recebimento 247 - RESTAURANTE VARANDA 1921 GRASTROPUB LTDA, ref 01/2026;828;36.719,47;;270.564,32
Recebimento 634 - STUDIO LEANDRO SILVA EIRELI, ref 01/2026;828;1.709,02;;272.273,34
Recebimento 591 - CLINICA SINERGISMO LTDA, ref 01/2026;828;1.123,87;;273.397,21
Pagamento 38 - GPS Autonomo - Reembolso Trabalhista- Cliente;828;;178,31;273.218,90
Pagamento 38 - GPS Autonomo - Reembolso Trabalhista- Cliente;828;;178,31;273.040,59
Pagamento 38 - GPS Autonomo - Reembolso Trabalhista- Cliente;828;;178,31;272.862,28
Pagamento 38 - GPS Autonomo - Reembolso Trabalhista- Cliente;828;;324,2;272.538,08
Pagamento 38 - GPS Autonomo - Reembolso Trabalhista- Cliente;828;;648,4;271.889,68
;;;;
18/02/2026;;;;
Recebimento 134 - TENENTE PIMENTA PUB BAR LTDA - ME, ref 01/2026;828;17.461,30;;289.350,98
;;;;
Recebimento 104 - JOTA CERTIFICACAO DE DADOS GEOFISICOS LTDA, ref 01/2026;828;4.127,79;;293.478,77
Recebimento 210 - ADERMISON APARECIDO MATA 02706570610, ref 01/2026;828;1.224,04;;294.702,81
Recebimento 654 - CLINICA DOM BOSCO LTDA, ref 01/2026;828;8.388,70;;303.091,51
Recebimento 98 - SUSHI FUMI RESTAURANTE LTDA, ref 01/2026;828;4.757,31;;307.848,82
Recebimento 592 - LUMI EMPREENDIMENTOS LTDA, ref 01/2026;828;2.644,65;;310.493,47
Recebimento 553 - RMF EMPREENDIMENTOS LTDA, ref 01/2026;828;7.516,74;;318.010,21
Recebimento 178 - PERETVISION EIRELI ME, ref 01/2026;828;3.059,34;;321.069,55
Recebimento 131 - MR VIEIRA EMPREENDIMENTOS IMOBILIARIO LTDA - ME, ref 01/2026;828;502,51;;321.572,06
Recebimento 630 - VIVENDA EMPREENDIMENTOS LTDA, ref 01/2026;828;41.143,99;;362.716,05
Recebimento 531 - PNEUMOSAUDE LTDA, ref 01/2026;828;5.634,00;;368.350,05
;;;;
19/02/2026;;;;
Recebimento 225 - SEU JOSE RESTAURANTE LTDA, ref 01/2026;828;31.455,89;;399.805,94
;;;;
Recebimento 56 - FILHOS DE GANDHI ARTESANATOS LTDA ME, ref 01/2026;828;8.480,29;;408.286,23
Recebimento 73 - CONDOMINIO RESIDENCIAL VILA DO ITACOLOMI, ref 01/2026;828;6.927,33;;415.213,56
Recebimento 540 - MM MINAS VEICULOS LTDA, ref 01/2026;828;1.901,47;;417.115,03
Recebimento 164 - DARF DCTFWeb;829;1.315,84;;418.430,87
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;462,53;417.968,34
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.729,46;416.238,88
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.872,06;414.366,82
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.032,15;413.334,67
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;667,58;412.667,09
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;136;412.531,09
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;314,11;412.216,98
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;275,18;411.941,80
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;649,67;411.292,13
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;993,04;410.299,09
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.166,62;409.132,47
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;191,24;408.941,23
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;129,68;408.811,55
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.761,29;407.050,26
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;2.324,67;404.725,59
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;139,13;404.586,46
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;302,58;404.283,88
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;278,26;404.005,62
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;261,94;403.743,68
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;156,14;403.587,54
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;349,56;403.237,98
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;522,87;402.715,11
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;3.787,84;398.927,27
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;3.417,25;395.510,02
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;637,97;394.872,05
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;129,68;394.742,37
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;162,82;394.579,55
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;129,68;394.449,87
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.725,71;392.724,16
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.684,76;391.039,40
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.176,65;389.862,75
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;4.933,67;384.929,08
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;477,09;384.451,99
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;602,45;383.849,54
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;504,21;383.345,33
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;570,07;382.775,26
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;382.329,50
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;481,65;381.847,85
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;497,97;381.349,88
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;380.904,12
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;380.458,36
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;380.012,60
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;379.566,84
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;430,81;379.136,03
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;378.690,27
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;378.244,51
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;377.798,75
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;602,45;377.196,30
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;484,7;376.711,60
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;376.265,84
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;1.278,54;374.987,30
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;448,78;374.538,52
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;1.156,29;373.382,23
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;553,82;372.828,41
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;470,68;372.357,73
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;445,76;371.911,97
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;990,76;370.921,21
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;487,54;370.433,67
Pagamento 76 - Esocial - Reembolso trabalhista - Cliente;828;;642,07;369.791,60
;;;;
20/02/2026;;;;
Recebimento 52 - CERLEV PROJETOS E INOVACAO TECNOLOGICA NA BIOTECNO, ref 01/2026;828;502,51;;370.294,11
;;;;
Recebimento 93 - LOFT DA SERRA LTDA ME, ref 01/2026;828;13.242,84;;383.536,95
Recebimento 585 - TONELLI RESTAURANTE LTDA, ref 01/2026;828;14.387,16;;397.924,11
Recebimento 610 - POUSADA E RESTAURANTE ESTANCIA DOS MAIAS LTDA, ref 01/2026;828;374,23;;398.298,34
Recebimento 162 - DAS - Simples Nacional;829;2.530,26;;400.828,60
Recebimento 163 - FGTS;829;389,04;;401.217,64
Recebimento 164 - DARF DCTFWeb;829;507,38;;401.725,02
Recebimento 163 - FGTS;829;1.933,45;;403.658,47
Recebimento 164 - DARF DCTFWeb;829;1.982,82;;405.641,29
Recebimento 162 - DAS - Simples Nacional;829;4.356,53;;409.997,82
Recebimento 190 - ICMS;829;20,93;;410.018,75
Recebimento 190 - ICMS;829;50,74;;410.069,49
Recebimento 248 - TUMANOS STORE LTDA, ref 01/2026;828;1.418,60;;411.488,09
Recebimento 22 - RAJ RESTAURANTE LTDA, ref 01/2026;828;810,1;;412.298,19
Recebimento 503 - ROMINHO MULTIMARCAS LTDA, ref 01/2026;828;1.592,70;;413.890,89
Recebimento 87 - CLINICA ODONTOLOGICA AGUA LIMPA LTDA, ref 01/2026;828;14.561,04;;428.451,93
Recebimento 373 - IRACEMA DO CARMO PIMENTA RIOGA, ref 01/2026;828;430,81;;428.882,74
Recebimento 567 - BELLA GOMES EVENTOS LTDA, ref 01/2026;828;618,51;;429.501,25
Recebimento 573 - GIUSEPPE GELATO ARTESANAL LTDA, ref 01/2026;828;31.529,29;;461.030,54
Recebimento 642 - GIUSEPPE PONTE NOVA LTDA, ref 01/2026;828;14.143,21;;475.173,75
Recebimento 290 - MARIA CRISTINA DE ARAUJO FERNANDES, ref 01/2026;828;602,45;;475.776,20
Recebimento 88 - SIM VACINAS E MEDICINA PREVENTIVA LTDA., ref 01/2026;828;11.968,84;;487.745,04
Recebimento 208 - ALVES NEFROLOGIA LTDA, ref 01/2026;828;8.249,80;;495.994,84
Recebimento 115 - MEV EXPERTS LTDA, ref 01/2026;828;11.263,58;;507.258,42
Recebimento 164 - DARF DCTFWeb;829;2.850,00;;510.108,42
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;50,74;510.057,68
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;20,93;510.036,75
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;4.356,53;505.680,22
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.982,82;503.697,40
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;1.933,45;501.763,95
Pagamento 125 - DARF Previdenciário - Cliente;828;;697,52;501.066,43
Pagamento 125 - DARF Previdenciário - Cliente;828;;367,62;500.698,81
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.287,28;498.411,53
Pagamento 125 - DARF Previdenciário - Cliente;828;;220;498.191,53
Pagamento 125 - DARF Previdenciário - Cliente;828;;324,2;497.867,33
Pagamento 125 - DARF Previdenciário - Cliente;828;;348,7;497.518,63
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.658,97;494.859,66
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.099,34;493.760,32
Pagamento 125 - DARF Previdenciário - Cliente;828;;317,99;493.442,33
Pagamento 125 - DARF Previdenciário - Cliente;828;;3.645,08;489.797,25
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.030,15;487.767,10
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.322,44;485.444,66
Pagamento 125 - DARF Previdenciário - Cliente;828;;502,51;484.942,15
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.500,66;482.441,49
Pagamento 125 - DARF Previdenciário - Cliente;828;;178,31;482.263,18
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.172,42;481.090,76
Pagamento 125 - DARF Previdenciário - Cliente;828;;3.557,70;477.533,06
Pagamento 125 - DARF Previdenciário - Cliente;828;;714,19;476.818,87
Pagamento 125 - DARF Previdenciário - Cliente;828;;844,35;475.974,52
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.136,73;474.837,79
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.396,94;473.440,85
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.381,80;472.059,05
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;471.862,04
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.898,18;469.963,86
Pagamento 125 - DARF Previdenciário - Cliente;828;;189,31;469.774,55
Pagamento 125 - DARF Previdenciário - Cliente;828;;502,51;469.272,04
Pagamento 125 - DARF Previdenciário - Cliente;828;;318,58;468.953,46
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.097,97;466.855,49
Pagamento 125 - DARF Previdenciário - Cliente;828;;195,69;466.659,80
Pagamento 125 - DARF Previdenciário - Cliente;828;;524,41;466.135,39
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;465.938,38
Pagamento 125 - DARF Previdenciário - Cliente;828;;6.141,36;459.797,02
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.838,93;456.958,09
Pagamento 125 - DARF Previdenciário - Cliente;828;;517,42;456.440,67
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.226,50;455.214,17
Pagamento 125 - DARF Previdenciário - Cliente;828;;189,31;455.024,86
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.011,08;453.013,78
Pagamento 125 - DARF Previdenciário - Cliente;828;;268,69;452.745,09
Pagamento 125 - DARF Previdenciário - Cliente;828;;502,51;452.242,58
Pagamento 125 - DARF Previdenciário - Cliente;828;;502,51;451.740,07
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.900,11;448.839,96
Pagamento 125 - DARF Previdenciário - Cliente;828;;206,91;448.633,05
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.350,97;446.282,08
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;446.085,07
Pagamento 125 - DARF Previdenciário - Cliente;828;;206,91;445.878,16
Pagamento 125 - DARF Previdenciário - Cliente;828;;358,25;445.519,91
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;445.322,90
Pagamento 125 - DARF Previdenciário - Cliente;828;;551,53;444.771,37
Pagamento 125 - DARF Previdenciário - Cliente;828;;6.993,87;437.777,50
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.799,67;434.977,83
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.005,66;433.972,17
Pagamento 125 - DARF Previdenciário - Cliente;828;;464,28;433.507,89
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.097,48;431.410,41
Pagamento 125 - DARF Previdenciário - Cliente;828;;249,72;431.160,69
Pagamento 125 - DARF Previdenciário - Cliente;828;;698,17;430.462,52
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.336,33;429.126,19
Pagamento 125 - DARF Previdenciário - Cliente;828;;3.047,30;426.078,89
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;425.881,88
Pagamento 125 - DARF Previdenciário - Cliente;828;;4.611,09;421.270,79
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;389,04;420.881,75
Pagamento 125 - DARF Previdenciário - Cliente;828;;507,38;420.374,37
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.530,26;417.844,11
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.315,84;416.528,27
Pagamento 120 - ISSQN - Cliente;828;;22,95;416.505,32
Pagamento 120 - ISSQN - Cliente;828;;22,67;416.482,65
Pagamento 120 - ISSQN - Cliente;828;;11,61;416.471,04
Pagamento 120 - ISSQN - Cliente;828;;20,97;416.450,07
Pagamento 120 - ISSQN - Cliente;828;;20,82;416.429,25
Pagamento 120 - ISSQN - Cliente;828;;20,68;416.408,57
Pagamento 120 - ISSQN - Cliente;828;;20,42;416.388,15
Pagamento 120 - ISSQN - Cliente;828;;20,14;416.368,01
Pagamento 120 - ISSQN - Cliente;828;;19,93;416.348,08
Pagamento 120 - ISSQN - Cliente;828;;19,69;416.328,39
Desconto concedido ref.: Recebimento 87 - CLINICA ODONTOLOGICA AGUA LIMPA LTDA, ref 01/2026;564;;680;415.648,39
Pagamento 120 - ISSQN - Cliente;828;;11,01;415.637,38
Pagamento 120 - ISSQN - Cliente;828;;1.480,18;414.157,20
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.193,72;412.963,48
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;856,42;412.107,06
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;776,39;411.330,67
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;269,81;411.060,86
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.672,13;408.388,73
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.370,65;398.018,08
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.355,53;387.662,55
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;669,88;386.992,67
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;4.407,11;382.585,56
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.261,99;372.323,57
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.293,96;370.029,61
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.984,76;360.044,85
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;26.132,84;333.912,01
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.782,65;323.129,36
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;981,94;322.147,42
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;571,2;321.576,22
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.072,52;319.503,70
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.423,75;316.079,95
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.975,57;314.104,38
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;7.956,91;306.147,47
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;33.247,60;272.899,87
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;427,11;272.472,76
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;11.365,04;261.107,72
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.059,34;258.048,38
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.837,27;255.211,11
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;167,32;255.043,79
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;11.589,44;243.454,35
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.849,35;240.605,00
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;5.962,52;234.642,48
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;25.148,60;209.493,88
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.655,10;199.838,78
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;502,21;199.336,57
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;14.948,32;184.388,25
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;31.102,38;153.285,87
Pagamento 120 - ISSQN - Cliente;828;;1.237,52;152.048,35
Pagamento 120 - ISSQN - Cliente;828;;584,52;151.463,83
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.610,86;147.852,97
Pagamento 120 - ISSQN - Cliente;828;;9,18;147.843,79
Pagamento 120 - ISSQN - Cliente;828;;12,29;147.831,50
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;687,21;147.144,29
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;6.253,47;140.890,82
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;930,85;139.959,97
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;420;139.539,97
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.252,50;130.287,47
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;613,06;129.674,41
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;30.131,96;99.542,45
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.073,63;98.468,82
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.899,68;95.569,14
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.115,06;94.454,08
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;900;93.554,08
Pagamento 125 - DARF Previdenciário - Cliente;828;;696,69;92.857,39
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;4.383,07;88.474,32
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;1.719,37;86.754,95
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;349,13;86.405,82
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;290,41;86.115,41
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;688,35;85.427,06
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;5.005,18;80.421,88
;;;;
23/02/2026;;;;
Recebimento 36 - CENTRAL SOM & CHAVES LTDA ME, ref 01/2026;828;13.262,68;;93.684,56
;;;;
Recebimento 514 - Camila Gomes Barbosa Gonzaga 11929478607, ref 01/2026;828;504,21;;94.188,77
Recebimento 49 - REMASK COMERCIO E SERVICOS LTDA - ME, ref 01/2026;828;197,01;;94.385,78
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;35,78;94.350,00
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;126,05;94.223,95
;;;;
24/02/2026;;;;
Recebimento 147 - BRUM LINHARES SERVICOS MEDICOS LTDA, ref 01/2026;828;1.561,72;;95.785,67
;;;;
Recebimento 347 - Rovenio Mendes Linhare, ref 01/2026;828;1.073,13;;96.858,80
Recebimento 646 - NTDMS CARDIOSAUDE LTDA, ref 01/2026;828;502,51;;97.361,31
Recebimento 613 - INCONFIDENTES VEICULOS LTDA, ref 12/2025;828;470,58;;97.831,89
Recebimento 613 - INCONFIDENTES VEICULOS LTDA, ref 01/2026;;554,6;;98.386,49
Recebimento 586 - HABITHUS SAUDE E PERFORMACE LTDA, ref 01/2026;828;1.171,25;;99.557,74
Pagamento 147 - DAS Parcelamento - Reembolso de cliente;828;;704,04;98.853,70
Pagamento 147 - DAS Parcelamento - Reembolso de cliente;828;;437,3;98.416,40
;;;;
27/02/2026;;;;
Recebimento 105 - RENATA REIS TROPIA 10171945646, ref 01/2026;828;2.843,03;;101.259,43
;;;;
Recebimento 327 - Christopher George Boaventura Quintao Diniz, ref 02/2026;828;445,76;;101.705,19
Total męsa débito:;432.235,13;Total męs a crédito:;483.361,04;
Conta SICOOB - Total de débitos:;432.235,13;Total de créditos:;483.361,04;
